,CRASH_HOUR,Month,Unnamed: 0,CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,Year
51,4,4,10,10,0,10,10,10,10,10,10,10,10,9,10,10,10,10,10,2,1,7,10,10,10,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
52,4,5,3,3,0,3,3,3,3,3,3,3,3,1,3,3,3,3,3,0,0,1,3,3,3,3,3,3,3,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
53,4,6,7,7,0,7,7,7,7,7,7,7,7,5,7,7,7,7,7,1,0,5,7,7,7,7,7,7,7,7,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
54,4,7,7,7,0,7,7,7,7,7,7,7,7,5,7,7,7,7,7,2,2,2,7,7,7,7,7,7,7,7,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
55,4,8,9,9,0,9,9,9,9,9,9,9,9,7,9,9,9,9,9,0,0,4,9,9,9,9,9,9,9,9,0,1,0,0,0,0,9,8,8,8,8,8,8,8,8,9,9,9,9,9,9
56,4,9,10,10,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,1,4,10,10,10,10,10,10,10,10,0,1,0,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
57,4,10,16,16,2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,4,1,7,16,16,16,16,16,16,16,16,1,1,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
58,4,11,12,12,1,12,12,12,12,12,12,12,12,11,12,12,12,12,12,2,0,6,12,12,12,12,12,12,12,12,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
59,4,12,17,17,2,17,17,17,17,17,17,17,17,15,17,17,17,17,17,1,1,10,17,17,17,17,17,17,17,17,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
60,5,1,7,7,0,7,7,7,7,7,7,7,7,6,7,7,7,7,7,1,0,3,7,7,7,7,7,7,7,7,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
